"ID","Name","Title","Role","Origin","Current identity / powers","Current movement","Declared speed","Flight tier","Flight tier basis","Current flight visual","Current evade / sprint","Current movement extras","Current body model","Current frame (derived)","Current model (resolved defaults)","Current build / gear","Current carried items","Current colors","Current threat","Current strength","Current power-up","Current abilities","Before front","Before rear","Before archive commit","After status","Desired look / silhouette","Desired hair / face","Desired costume","Desired emblem","Desired colors / materials","Desired gear","Desired sprint animation","Desired flight animation","Desired infected identity","Desired power visuals","Design approval","Animation approval","Reviewer notes","After evidence link","Definition source","Appearance source","Scope"
"sol","SOL","Man of Sunlight","Bruiser / Beam","altered","A living solar reactor. Thin heat-ray, wide freezing breath, and a flight-fist that ends arguments.","Flight","34","3","Explicit source","hero","{""kind"":""dash"",""name"":""Solar Step""}","{""afterburner"":{""mult"":2.1,""kiPerSec"":14,""wake"":[""#ffffff"",""#ffd24a""]}}","superhero-male","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""hero"",""hairColor"":""#172127"",""body"":""superhero-male"",""surface"":""standard"",""definition"":0.85}","{""pauldron"":1,""gaunt"":1}","Not declared","{""primary"":""#ef652e"",""secondary"":""#0a27ff"",""accent"":""#ffd557"",""skin"":""#e8c39a"",""cape"":""#dd4309""}","Very High","8","{""schema"":1,""sourceSlot"":""r"",""ability"":{""type"":""buff"",""name"":""Solar Overload"",""cost"":30,""cd"":22,""mult"":1.7,""dur"":12,""heal"":40,""color"":""#ffd24a"",""color2"":""#fff2c0"",""dtype"":""fire""}}","LMB: Heat Ray (beam)
RMB: Arctic Breath (cone)
Q: Sky Smash (melee)
E: Solar Flare (projectile)
H: Heat Flurry (volley)
SHIFT: Super Dash (dash)","../marketing/roster-before-rebuild/sol-front.png","../marketing/roster-before-rebuild/sol-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"kano","KANO","Spirit Warrior","All-Rounder","spiritual","Charge the Wave Cannon like a firehose of light. Blink behind them. Then drop a sky-sized Star Sphere.","Flight","36","3","Runtime default (not explicit)","martial","{""kind"":""blink"",""name"":""Instant Step"",""range"":24}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""martial"",""flightStyle"":""martial"",""hairColor"":""#14222a"",""definition"":0.5}","{""band"":1,""gaunt"":1}","Not declared","{""primary"":""#ff5d2d"",""secondary"":""#109bf5"",""accent"":""#e4ffff"",""skin"":""#e8c39a""}","Very High","6","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Ascend"",""cost"":26,""cd"":20,""mult"":1.6,""dur"":11,""color"":""#ffe066"",""color2"":""#fff""}}","LMB: Wave Cannon (beam)
RMB: Comet Rush (rush)
Q: Ki Blast (projectile)
E: Snap Transit (teleport)
SHIFT: Flash Step (dash)
R: Star Sphere (growingorb)","../marketing/roster-before-rebuild/kano-front.png","../marketing/roster-before-rebuild/kano-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"vega","VEGAS","Fallen Prince","Charge Artillery","alien","Left-right-left-right blaster storm, a size-scaling Nova Burst that cracks the ground, and the Final Arc.","Flight","33","3","Runtime default (not explicit)","hero","{""kind"":""dash"",""name"":""Royal Sidestep""}","{}","superhero-male","{""scale"":1.06,""bulk"":1.15,""broad"":1.13,""head"":0.94,""neck"":1.18,""stance"":1.09}","{""costume"":""plated"",""flightStyle"":""hero"",""hairColor"":""#17242b"",""body"":""superhero-male"",""surface"":""field"",""hair"":""none"",""insignia"":""V"",""definition"":0.2}","{""pauldron"":1,""gaunt"":1,""collar"":1}","Not declared","{""primary"":""#e0243a"",""secondary"":""#d3d9bc"",""accent"":""#ffbc24"",""skin"":""#5b3829""}","Very High","7","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Prince’s Pride"",""cost"":24,""cd"":20,""mult"":1.7,""dur"":11,""color"":""#f5b21a"",""color2"":""#fff""}}","LMB: Volley (volley)
RMB: Violet Lance (beam)
Q: Nova Burst (charge)
E: Rush Combo (melee)
SHIFT: Burst Dash (dash)
R: Final Arc (beam)","../marketing/roster-before-rebuild/vega-front.png","../marketing/roster-before-rebuild/vega-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"aurum","AURUM","The Willbearer","Constructs","tech","Solid-light constructs you fly with your cursor: a rocket fist, a falling hammer, a wall, a sentry turret.","Flight","32","3","Runtime default (not explicit)","martial","{""kind"":""dash"",""name"":""Will Surge""}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""collar"":1,""gaunt"":1}","Not declared","{""primary"":""#05da54"",""secondary"":""#087d43"",""accent"":""#84ffa3"",""skin"":""#caa27a""}","High","5","{""schema"":1,""sourceSlot"":""r"",""ability"":{""type"":""buff"",""name"":""Overcharge Ring"",""cost"":28,""cd"":20,""mult"":1.6,""dur"":11,""heal"":35,""color"":""#7dff9e"",""color2"":""#efffe8""}}","LMB: Will Fist (construct)
RMB: Will Hammer (construct)
Q: Barrier (construct)
E: Sentry (construct)
H: Emerald Bolt (projectile)
SHIFT: Will Surge (dash)","../marketing/roster-before-rebuild/aurum-front.png","../marketing/roster-before-rebuild/aurum-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"nova","NOVA","Star Sovereign","Sky Artillery","alien","Rains stars from orbit. A precision Star Lance, a swelling Nova Core, and a sky-wide Meteor Storm.","Flight","33","3","Runtime default (not explicit)","martial","{""kind"":""dash"",""name"":""Star Step""}","{""afterburner"":{""mult"":2.1,""kiPerSec"":14,""wake"":[""#ffffff"",""#7fe6ff""]}}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""visor"":1,""pauldron"":1}","Not declared","{""primary"":""#ff9149"",""secondary"":""#613419"",""accent"":""#ffd557"",""skin"":""#e8c39a"",""cape"":""#fa6006""}","Extreme","5","Not declared","LMB: Star Lance (beam)
RMB: Nova Core (charge)
Q: Plasma Orb (projectile)
E: Solar Wind (cone)
H: Ember Spray (volley)
SHIFT: Sun Step (dash)
R: Meteor Storm (meteor)","../marketing/roster-before-rebuild/nova-front.png","../marketing/roster-before-rebuild/nova-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"rime","RIME","The Deep Cold","Cryo Control","mutated","Freezes the battlefield: breath that slows to a crawl, walls of ice, and an Absolute Zero detonation.","Levitation","31","2","Explicit source","martial","{""kind"":""slide"",""name"":""Ice Skate"",""slideT"":0.7,""power"":135}","{""flyStyle"":""ice""}","Not declared","{""scale"":0.97,""bulk"":0.9,""broad"":0.96,""head"":1.03,""neck"":0.92,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""crest"":1,""collar"":1}","Not declared","{""primary"":""#49c4fa"",""secondary"":""#cbf0ff"",""accent"":""#e4ffff"",""skin"":""#cfe6f0""}","High","4","Not declared","LMB: Frost Breath (cone)
RMB: Shard Volley (volley)
Q: Ice Wall (construct)
E: Cryo Beam (beam)
H: Glacier Spike (projectile)
SHIFT: Ice Skate (dash)
R: Absolute Zero (charge)","../marketing/roster-before-rebuild/rime-front.png","../marketing/roster-before-rebuild/rime-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"volt","VOLT","The Overclock","Speed / Lightning","altered","Faster than you can track. Grab him and the current bites back. Lightning flurries, arc-beams, and Overclock.","Momentum glide","44","0","Explicit source","martial","{""kind"":""sprint"",""name"":""Mach Sprint"",""mult"":1.95,""dur"":1.3,""through"":true,""lightning"":true,""cost"":7}","{""movementTrail"":{""life"":0.24,""width"":0.16,""intensity"":0.68},""momentumGlide"":{""minSpeed"":70,""sink"":10,""drag"":0.25,""turnRate"":0.65,""kiPerSec"":14}}","Not declared","{""scale"":0.92,""bulk"":0.79,""broad"":0.9,""head"":1.09,""neck"":0.84,""stance"":0.94}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""crest"":1,""gaunt"":1}","Not declared","{""primary"":""#ebff2d"",""secondary"":""#38314a"",""accent"":""#e4ffff"",""skin"":""#e8c39a""}","Moderate","3","{""schema"":1,""sourceSlot"":""r"",""ability"":{""type"":""buff"",""name"":""Overclock"",""cost"":26,""cd"":18,""mult"":1.8,""dur"":9,""timeField"":{""radius"":112,""scale"":0.25,""dur"":5,""style"":""speed"",""color"":""#7fd4ff""},""color"":""#ffd21a"",""color2"":""#fff""}}","LMB: Lightning Flurry (rush)
RMB: Arc Beam (beam)
Q: Chain Bolt (projectile)
E: Static Field (cone)
H: Zap Step (teleport)
SHIFT: Blink (dash)","../marketing/roster-before-rebuild/volt-front.png","../marketing/roster-before-rebuild/volt-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"warden","WARDEN","Gravity Anchor","Control / Slam","mutated","Bends weight itself. Shove crowds with force cones, drop a Singularity, then Collapse the arena.","Levitation","30","2","Explicit source","martial","{""kind"":""dash"",""name"":""Gravity Shift"",""power"":92}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""visor"":1,""pauldron"":2,""gaunt"":1}","Not declared","{""primary"":""#2c91ab"",""secondary"":""#1a4560"",""accent"":""#86e7ff"",""skin"":""#b9c6cc""}","High","8","Not declared","LMB: Force Push (cone)
RMB: Graviton (projectile)
Q: Singularity (growingorb)
E: Anchor Slam (melee)
H: Phase (teleport)
SHIFT: Slide (dash)
R: Collapse (charge)","../marketing/roster-before-rebuild/warden-front.png","../marketing/roster-before-rebuild/warden-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"hive","HIVE","The Conclave","Summoner","tech","Never fights alone. Swarms of seeker-drones, a fixed sentinel, and an Overmind that empowers the hive.","Limited flight","32","1","Explicit source","martial","{""kind"":""dash"",""name"":""Scramble""}","{}","Not declared","{""scale"":0.92,""bulk"":0.79,""broad"":0.9,""head"":1.09,""neck"":0.84,""stance"":0.94}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""tank"":1,""crest"":1,""pauldron"":1}","Not declared","{""primary"":""#e1a33b"",""secondary"":""#60491a"",""accent"":""#ffe181"",""skin"":""#d8b98a""}","Moderate","3","{""schema"":1,""sourceSlot"":""r"",""ability"":{""type"":""buff"",""name"":""Overmind"",""cost"":28,""cd"":20,""mult"":1.5,""dur"":12,""heal"":25,""color"":""#ffdf7a"",""color2"":""#fff""}}","LMB: Drone Swarm (summon)
RMB: Sentinel (construct)
Q: Formic Sting (projectile)
E: Hunter Pack (summon)
H: Scatter (cone)
SHIFT: Scramble (dash)","../marketing/roster-before-rebuild/hive-front.png","../marketing/roster-before-rebuild/hive-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"pyre","PYRE","Living Wildfire","Fire Bruiser","mutated","Walking eruption. Lobbed fireballs, a roaring flame cone, a swelling Magma Bomb, and a Rain of Fire.","Levitation","32","2","Explicit source","martial","{""kind"":""dash"",""name"":""Flare Step""}","{""flyStyle"":""fire""}","Not declared","{""scale"":1.06,""bulk"":1.15,""broad"":1.13,""head"":0.94,""neck"":1.18,""stance"":1.09}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""crest"":1,""gaunt"":1}","Not declared","{""primary"":""#ff742d"",""secondary"":""#6e2c03"",""accent"":""#ffb649"",""skin"":""#e0a878""}","Very High","7","Not declared","LMB: Fireball (projectile)
RMB: Flamethrower (cone)
Q: Magma Bomb (charge)
E: Burning Fist (melee)
H: Cinder Burst (volley)
SHIFT: Flare Dash (dash)
R: Rain of Fire (meteor)","../marketing/roster-before-rebuild/pyre-front.png","../marketing/roster-before-rebuild/pyre-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
